objectID,title,artistDisplayName,objectDate,department,medium,primaryImageSmall,objectURL
460281,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,,ca. 1275–1300,Robert Lehman Collection,Ivory with traces of original gilding and polychromy; silver hinges.,https://images.metmuseum.org/CRDImages/rl/web-large/SLP1553-1.jpg,https://www.metmuseum.org/art/collection/search/460281
436516,The Triumph of Fame; (reverse) Impresa of the Medici Family and Arms of the Medici and Tornabuoni Families,Giovanni di ser Giovanni Guidi (called Scheggia),ca. 1449,European Paintings,"Tempera, silver, and gold on wood",https://images.metmuseum.org/CRDImages/ep/web-large/DP164870.jpg,https://www.metmuseum.org/art/collection/search/436516
53176,"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Kaikei,early 13th century,Asian Art,"Japanese cypress with lacquer, color, gold, cut gold leaf (kirikane), and inlaid crystal eyes",https://images.metmuseum.org/CRDImages/as/web-large/DP-22243-001.jpg,https://www.metmuseum.org/art/collection/search/53176
310542,Whistling vessel,Maya artist(s),400–500 CE,The Michael C. Rockefeller Wing,Ceramic,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23468-001.jpg,https://www.metmuseum.org/art/collection/search/310542
207259,Pendant with the Virgin and Child,,probably first half 17th century,European Sculpture and Decorative Arts,Enameled gold set with diamonds and a ruby,https://images.metmuseum.org/CRDImages/es/web-large/DP-36189-001.jpg,https://www.metmuseum.org/art/collection/search/207259
436834,Portrait of a Young Man; (reverse) Girl Making a Garland,Hans Süss von Kulmbach,ca. 1508,European Paintings,Oil on poplar,https://images.metmuseum.org/CRDImages/ep/web-large/DP164793.jpg,https://www.metmuseum.org/art/collection/search/436834
309389,Urpu (jar),Inca artist(s),1400–1535 CE,The Michael C. Rockefeller Wing,"Ceramic, slip",https://images.metmuseum.org/CRDImages/ao/web-large/DP-24278-001.jpg,https://www.metmuseum.org/art/collection/search/309389
39901,Night-Shining White,Han Gan,ca. 750,Asian Art,Handscroll; ink on paper,https://images.metmuseum.org/CRDImages/as/web-large/DP153705.jpg,https://www.metmuseum.org/art/collection/search/39901
310453,Nkishi (community power figure),Songye artist and nganga (ritual specialist),19th–first half of 20th century,The Michael C. Rockefeller Wing,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",,https://www.metmuseum.org/art/collection/search/310453
437422,Charity,Guido Reni,ca. 1630,European Paintings,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DT10776.jpg,https://www.metmuseum.org/art/collection/search/437422
