objectID,title,department,objectDate,culture,medium,classification,artistDisplayName,country,period,objectBeginDate,objectEndDate
32064,Helmet,Arms and Armor,16th century,Turkish,Iron,Helmets,,Ottoman Empire,,1501,1600
556676,Ostracon with hieratic inscription,Egyptian Art,ca. 2051–1981 B.C.,,"Pottery, ink",,,Egypt,Middle Kingdom,-2051,-1981
545573,Marsh Bowl,Egyptian Art,ca. 1550–1295 B.C.,,"Blue faience, paint",,,Egypt,New Kingdom,-1550,-1295
504805,Dohol,Musical Instruments,19th century,Iranian (Persian),"Wood, skin, paper, metal",Membranophone-double-headed / frame drum,,Iran,,1800,1899
61922,Pipe Case,Asian Art,19th century,Japan,Wood,Woodwork,,,Edo (1615–1868) or Meiji period (1868–1912),1800,1899
36286,Turnip and Katydid,Asian Art,dated 1942,China,Folding fan; ink and color on alum paper,Paintings,Yu Feian,,,1942,1942
341930,Christ in the House of Simon,Drawings and Prints,ca. 1830–78,,Engraving and etching,Prints,Girolamo Scotto,,,1825,1878
650077,Meeting House,Drawings and Prints,1940,,Lithograph,Prints,Stow Wengenroth,,,1940,1940
285821,"The Valley of the Anio, with the Upper and Lower Cascatelle, Mecenas's Villa, and Distant Campagna",Photographs,by 1858,,Albumen silver print from glass negative,Photographs,Robert Macpherson,,,1858,1858
718874,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,440–420 BCE,"Greek, Attic",Terracotta,Vases,,,Classical,-530,-400
774993,[Paper Moon Studio Portrait],Photographs,1900s–1930s,,Gelatin silver print,Photographs,Unknown,,,1900,1939
66890,Piece,Asian Art,18th–19th century,Japan,Silk,Textiles-Woven,,,,1700,1899
224467,Piece,European Sculpture and Decorative Arts,early 19th century,,Silk on silk,Textiles-Embroidered,,,,1800,1815
191651,Set of three plates (part of a set),European Sculpture and Decorative Arts,late 18th century,,Pottery,Ceramics-Pottery,Wedgwood and Co.,,,1785,1799
187825,Coffeepot (part of a set),European Sculpture and Decorative Arts,1820–30,,Hard-paste porcelain,Ceramics-Porcelain,,,,1820,1830
417474,"Mlle. Gedulic, from the Actors and Actresses series (N45, Type 8) for Virginia Brights Cigarettes",Drawings and Prints,ca. 1888,,Albumen photograph,Photographs,Allen & Ginter,,,1885,1891
369292,Le Pot au Lait,Drawings and Prints,n.d.,,Etching,Prints,Jean Honoré Fragonard,,,1745,1806
98790,Evening ensemble,Costume Institute,1983,French,"silk, glass",,Yves Saint Laurent,,,1983,1983
354528,Pond View,Drawings and Prints,ca. 1911–55,,Etching with drypoint,Prints,Sears Gallagher,,,1911,1955
173371,Textile panel,European Sculpture and Decorative Arts,1675–1720,,"Silk, metallic, linen",Textiles-Embroidered,,,,1675,1720
246027,Gold pin,Greek and Roman Art,late 6th–5th century BCE,Etruscan,"Gold, iron ??",Gold and Silver,,,Late Archaic,-599,-400
377059,"Landscape, ""Villanella gentil ch'attenta mira...""",Drawings and Prints,1762,,Etching and engraving; third state,Prints,Francesco Bartolozzi,,,1762,1762
221408,Stole,European Sculpture and Decorative Arts,1589– 90,,Silk and metal thread,Textiles-Embroidered,,,,1589,1590
784784,"Grace Cunard, Universal, from the ""Moving Picture Stars"" series (T86), issued with Egyptian Oasis Cigarettes by Liggett & Myers Tobacco Company",Drawings and Prints,1917,,Commercial photolithograph,Prints,Liggett & Myers Tobacco Company,,,1917,1917
894259,Woman sitting on a garden bench,Drawings and Prints,1878–80 (printed 1881),,Etching; third state of three,Prints,Giuseppe De Nittis,,,1878,1880
45814,Calligraphy,Asian Art,16th century or later,China,Folding fan mounted as an album leaf; ink on paper,Calligraphy,Unidentified artist,,Ming dynasty (1368–1644),1500,1644
366093,Virginia Gerson,Drawings and Prints,1870–1903,,"Etching, printed with plate tone",Prints,Robert Frederick Blum,,,1870,1903
725207,"Sapper, France, 1853, from the Military Series (N224) issued by Kinney Tobacco Company to promote Sweet Caporal Cigarettes",Drawings and Prints,1888,,Commercial color lithograph,Prints,Kinney Brothers Tobacco Company,,,1888,1888
777719,The Duel Interrupted,Drawings and Prints,after 1871,,Engraving,Prints,Herbert Bourne,,,1871,1880
768500,4-on-1 from Exhibits Novelty Star Designs (W435),Drawings and Prints,ca. 1929,,Commercial color photolithograph,Prints,,,,1924,1934
426758,"Josef Albers at the Metropolitan Museum of Art, Nov. 19, 1971–Jan.9, 1972",Drawings and Prints,1971,,Silkscreen,Posters,Josef Albers,,,1971,1971
61644,Statuette,Asian Art,18th century or earlier,China,Painted wood,Sculpture,,,probably late Ming dynasty (1368–1644),1700,1799
32587,Hunting Knife (Coutelas),Arms and Armor,18th century,"Swiss, Zurich","Steel, antler",Knives,,Switzerland,,1701,1800
545202,Rhinoceros beetle box,Egyptian Art,664–30 B.C.,,Cupreous metal,,,Egypt,Ptolemaic Period,-664,-30
422100,"Osprey, from the Birds of America series (N37) for Allen & Ginter Cigarettes",Drawings and Prints,1888,,Commercial color lithograph,Prints,Allen & Ginter,,,1888,1888
750459,Terracotta rim fragment of a kyathos (cup-shaped ladle),Greek and Roman Art,late 6th/early 5th century BCE,"Greek, Attic",Terracotta,Vases,,,Archaic,-650,-450
7343,Sconce,The American Wing,1800–1900,"American, Shaker",Pine,,United Society of Believers in Christ’s Second Appearing (“Shakers”),,,1800,1900
59135,Netsuke of Ox and Herder,Asian Art,18th century,Japan,Wood,Netsuke,,,Edo period (1615–1868),1700,1799
899251,The Oxford Almanack for the Year of Our Lord God MDCCCXLVI – St. Giles' Church,Drawings and Prints,1846,,Steel engraving,Prints,William Radclyffe,,,1846,1846
678442,Terracotta fragments of kylikes (drinking cups),Greek and Roman Art,5th century BCE,"Greek, Attic",Terracotta,Vases,,,Archaic/Classical,-500,-450
766683,Night Voyage or Net Fishing,Drawings and Prints,1862,,"Pen and ink on tracing paper, redrawn in graphite on verso",Drawings,Charles-François Daubigny,,,1862,1862
216553,Piece,European Sculpture and Decorative Arts,1740?–?50,,Silk,Textiles-Woven,,,,1740,1750
153552,Ensemble,Costume Institute,spring/summer 2003,Austrian,"(a, b) synthetic fiber; (c) cotton, latex, metal; (d, e) leather, plastic; (f) plastic, metal",,Helmut Lang,,,2003,2003
347010,"The Cabinet of Marquetery, buhl, and inlaid wood; designs for doors, corners, panels, ornaments, trinkets, natural flowers, marquetry, etc.",Drawings and Prints,1867,,,Books,"Anonymous, British, 19th century",England,,1867,1867
387901,Catalogue of Hall Striking Clocks,Drawings and Prints,1889,,Illustrations: wood engraving or photo engraving,Books,The E. Howard Watch and Clock Co.,,,1889,1889
387031,Designs for Five Women's Dresses,Drawings and Prints,ca. 1915,,"Black and white gouache, pen and ink and brush",Drawings,A. Foa,,,1915,1917
201323,Tea caddy (part of a service),European Sculpture and Decorative Arts,1795–1800,,Hard-paste porcelain,Ceramics-Porcelain-Export,,,,1795,1800
777199,Jack Hoxie from Western Stars or Scenes Exhibit Cards series (W412),Drawings and Prints,ca. 1920–35,,Commercial color photolithograph,Prints,,,,1920,1935
343310,Mary Magdalen,Drawings and Prints,ca. 1490,,Engraving,Prints,Master i.e.,Germany,,1480,1500
835644,"[Contact Sheet (Roll 6550): Group of Feminists, including Betty Friedan, Jacqueline Ceballos, and Ivy Bottini from NOW]",Photographs,June 1969,,Gelatin silver print (stabilization print),Photographs,Diane Arbus,,,1969,1969
35316,Knife Handle (Kozuka),Arms and Armor,ca. 1615–1868,Japanese,Silver,Sword Furniture-Kozuka,,Japan,,1590,1900
141656,Ring,Costume Institute,probably 19th century,Chinese,jade,,,,,1775,1925
325935,Cup,Ancient West Asian Art,ca. 19th–16th century BCE,Iran,Ceramic,,,,Middle Bronze Age,-1900,-1500
1019,Bride Box,The American Wing,1770–1800,American,Cedar,,,United States,,1770,1800
337536,Olympia (published plate),Drawings and Prints,1867,,Etching; second state of six,Prints,Edouard Manet,,,1867,1867
239521,Breadth,European Sculpture and Decorative Arts,late 19th century,,Silk,Textiles-Woven,,,,1880,1899
899529,[Johnny the Orange Man],Photographs,1880s,,Albumen silver print,Photographs,Pach Brothers,,,1880,1889
704612,Double cobweb valentine with Venetian scene,Drawings and Prints,1830–50,,"Lithography, watercolor on openwork cameo-embossed paper",Ephemera,Anonymous,,,1830,1850
708943,"Entry of Henri III, King of France and Poland, into Venice",Drawings and Prints,1574,,Etching,Prints,Domenico Zenoi,,,1574,1574
370699,Agrippina,Drawings and Prints,1557,,Engraving,Prints,Enea Vico,,,1557,1557
252092,Steatite Triangular Prism,Greek and Roman Art,ca. 1800–1700 BCE,Minoan,Steatite,Gems,,,Middle Minoan II,-1800,-1700
353386,Daphnis & Chloé,Drawings and Prints,1895,,,Books,Longus,,,1895,1895
575282,Spatula,Egyptian Art,ca. 1295–1070 B.C.,,Slate,,,Egypt,"New Kingdom, Ramesside",-1295,-1295
652946,Dr. Robert H. Collyer,Drawings and Prints,1839,,Cut paper silhouette,Cut Paper,Auguste Edouart,,,1839,1839
704263,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,510–500 BCE,"Greek, Attic",Terracotta,Vases,,,Archaic,-530,-450
427974,"Myrrha is Turned into a Tree, from Les Métamorphoses d'Ovide en Latin et en François de la traduction de M. l'Abbé Banier de l'Académie Royale des Inscriptions et Belles-Lettres. Avec des explications historiques. A Paris Chez Despilly rue saint Jacques à la croix d'or. MDCCLXVII. Avec Approbation et Privilège du Roi",Drawings and Prints,1769,,Etching and engraving,Prints,Nicolas de Launay,,,1769,1769
550462,Plaque From a Foundation Deposit of Ramesses IV,Egyptian Art,ca. 1153–1147 B.C.,,Faience,,,Egypt,"New Kingdom, Ramesside",-1153,-1153
644726,"Her Majesty Nannerl the Washerwoman (in ""Good Words for 1862,"" p. 536)",Drawings and Prints,1862,,Wood engraving,Prints,Charles Samuel Keene,,,1862,1862
387262,"Aukland, New Zealand, Illustration for ""A Song of the English""",Drawings and Prints,ca. 1909,,Watercolor,Drawings,William Heath Robinson,,,1904,1914
